tract,total_pop_20,bpop_20,hpop_20,asian_nhpi_pop_20,amin_pop_20,other_pop_20,white_pop_20,total_vap_20,bvap_20,hvap_20,asian_nhpi_vap_20,amin_vap_20,other_vap_20,white_vap_20,pres_08_dem,pres_08_rep,pres_12_dem,pres_12_rep,pres_16_dem,pres_16_rep,gov_18_dem,gov_18_rep,ag_18_dem,ag_18_rep,pres_20_dem,pres_20_rep
06037576501,3094.0,602.0,1419.0,258.0,25.0,36.0,754.0,2574.0,508.0,1083.0,217.0,23.0,24.0,719.0,747.0,121.0,803.0,94.0,848.0,128.0,697.0,124.0,696.0,104.0,968.0,150.0
06037576502,4190.0,742.0,1784.0,355.0,63.0,49.0,1197.0,3591.0,589.0,1428.0,330.0,63.0,43.0,1138.0,1149.0,161.0,1201.0,146.0,1321.0,144.0,1217.0,169.0,1223.0,143.0,1476.0,210.0
06037576503,4093.0,615.0,1833.0,309.0,32.0,40.0,1264.0,3448.0,493.0,1425.0,257.0,28.0,37.0,1208.0,1034.0,185.0,977.0,133.0,1069.0,126.0,1000.0,151.0,993.0,144.0,1531.0,200.0
06037576601,4770.0,712.0,1352.0,484.0,59.0,84.0,2079.0,4376.0,628.0,1157.0,456.0,50.0,68.0,2017.0,1450.0,427.0,1465.0,381.0,1607.0,361.0,1410.0,353.0,1426.0,300.0,1987.0,437.0
06037576602,4403.0,578.0,1096.0,445.0,59.0,65.0,2160.0,4131.0,534.0,979.0,420.0,58.0,62.0,2078.0,1356.0,436.0,1373.0,365.0,1393.0,290.0,1378.0,352.0,1387.0,322.0,1852.0,337.0
06037576700,4153.0,361.0,973.0,427.0,50.0,70.0,2272.0,3739.0,299.0,841.0,376.0,42.0,66.0,2115.0,1609.0,519.0,1530.0,522.0,1637.0,376.0,1605.0,432.0,1598.0,392.0,1973.0,459.0
06037576801,4286.0,603.0,1456.0,432.0,37.0,56.0,1702.0,3766.0,472.0,1237.0,375.0,37.0,46.0,1599.0,1477.0,248.0,1383.0,232.0,1481.0,239.0,1479.0,257.0,1477.0,228.0,1906.0,322.0
06037576802,3989.0,534.0,1220.0,412.0,57.0,74.0,1692.0,3436.0,408.0,982.0,355.0,53.0,63.0,1575.0,1355.0,283.0,1340.0,294.0,1442.0,244.0,1370.0,257.0,1370.0,230.0,1737.0,286.0
06037576901,5366.0,847.0,2863.0,840.0,26.0,41.0,749.0,4189.0,615.0,2125.0,712.0,26.0,31.0,680.0,864.0,171.0,908.0,131.0,1034.0,145.0,837.0,170.0,860.0,140.0,1191.0,271.0
06037576903,3814.0,650.0,2149.0,398.0,40.0,23.0,554.0,2949.0,491.0,1560.0,336.0,33.0,20.0,509.0,689.0,123.0,677.0,97.0,726.0,87.0,639.0,110.0,646.0,93.0,972.0,184.0
06037576904,3239.0,602.0,1489.0,297.0,11.0,31.0,809.0,2632.0,456.0,1145.0,269.0,10.0,29.0,723.0,840.0,162.0,858.0,137.0,905.0,126.0,793.0,144.0,817.0,116.0,1149.0,203.0
06037577000,7264.0,1083.0,2463.0,887.0,90.0,83.0,2658.0,6171.0,869.0,1963.0,765.0,68.0,78.0,2428.0,2050.0,562.0,1943.0,490.0,2118.0,451.0,1948.0,504.0,1965.0,445.0,2859.0,685.0
06037577100,7051.0,577.0,1780.0,697.0,82.0,128.0,3787.0,6039.0,450.0,1441.0,590.0,76.0,93.0,3389.0,2548.0,806.0,2417.0,719.0,2689.0,642.0,2615.0,739.0,2612.0,682.0,3315.0,754.0
06037577200,5750.0,439.0,1261.0,609.0,56.0,68.0,3317.0,5200.0,372.0,1096.0,532.0,49.0,66.0,3085.0,2059.0,779.0,1904.0,770.0,2054.0,587.0,2003.0,647.0,2026.0,589.0,2789.0,675.0
06037577300,5535.0,279.0,1105.0,475.0,63.0,82.0,3531.0,5004.0,234.0,968.0,422.0,54.0,73.0,3253.0,1887.0,941.0,1642.0,984.0,1827.0,812.0,1782.0,869.0,1783.0,818.0,2383.0,1064.0
06037577400,3173.0,154.0,535.0,267.0,28.0,56.0,2133.0,2800.0,124.0,466.0,225.0,24.0,48.0,1913.0,1247.0,706.0,1101.0,714.0,1187.0,588.0,1050.0,620.0,1049.0,588.0,1429.0,688.0
06037577501,3440.0,73.0,403.0,269.0,30.0,55.0,2610.0,3010.0,42.0,324.0,206.0,23.0,51.0,2364.0,1112.0,1109.0,929.0,1191.0,1067.0,928.0,1012.0,1073.0,1007.0,1040.0,1394.0,1017.0
06037577504,1393.0,23.0,188.0,100.0,22.0,32.0,1028.0,1234.0,20.0,146.0,73.0,20.0,26.0,949.0,434.0,398.0,373.0,409.0,457.0,379.0,375.0,385.0,378.0,373.0,513.0,340.0
06037577602,3370.0,156.0,467.0,404.0,31.0,56.0,2256.0,3029.0,138.0,387.0,350.0,29.0,50.0,2075.0,1142.0,892.0,1032.0,919.0,1052.0,644.0,1029.0,800.0,1054.0,753.0,1365.0,792.0
06037577604,1300.0,39.0,171.0,129.0,9.0,15.0,937.0,1198.0,39.0,135.0,105.0,9.0,11.0,899.0,426.0,359.0,374.0,401.0,439.0,356.0,376.0,334.0,381.0,322.0,530.0,357.0
06037577605,4799.0,168.0,667.0,542.0,56.0,67.0,3299.0,4065.0,133.0,478.0,441.0,48.0,50.0,2915.0,1496.0,1430.0,1349.0,1438.0,1583.0,1148.0,1425.0,1368.0,1425.0,1324.0,1986.0,1332.0
06037577606,3547.0,220.0,661.0,363.0,33.0,73.0,2197.0,2916.0,173.0,494.0,276.0,29.0,55.0,1889.0,1121.0,677.0,1116.0,775.0,1269.0,549.0,1245.0,613.0,1242.0,584.0,1640.0,670.0
06037577700,4672.0,765.0,2385.0,1277.0,23.0,23.0,199.0,3627.0,623.0,1729.0,1054.0,16.0,23.0,182.0,1028.0,201.0,1239.0,182.0,1308.0,152.0,1005.0,178.0,1024.0,144.0,1345.0,376.0
06037577800,5085.0,185.0,3759.0,424.0,28.0,39.0,650.0,3933.0,138.0,2825.0,353.0,27.0,19.0,571.0,1184.0,588.0,1154.0,516.0,1203.0,434.0,987.0,499.0,1038.0,430.0,1480.0,731.0
06037577900,5481.0,1162.0,1386.0,1347.0,36.0,52.0,1498.0,4582.0,930.0,1056.0,1138.0,36.0,48.0,1374.0,1468.0,684.0,1575.0,732.0,1606.0,561.0,1498.0,622.0,1521.0,571.0,2093.0,709.0
06037578000,7189.0,1401.0,3989.0,1049.0,25.0,49.0,676.0,5396.0,1020.0,2799.0,896.0,25.0,38.0,618.0,796.0,217.0,1007.0,210.0,1211.0,189.0,890.0,213.0,900.0,186.0,1543.0,452.0
06037578100,2094.0,209.0,637.0,491.0,7.0,20.0,730.0,2073.0,203.0,627.0,491.0,5.0,20.0,727.0,245.0,70.0,716.0,108.0,420.0,54.0,295.0,63.0,309.0,42.0,548.0,339.0
06037599000,3322.0,62.0,1792.0,68.0,29.0,37.0,1334.0,2614.0,50.0,1274.0,50.0,24.0,35.0,1181.0,651.0,527.0,633.0,455.0,598.0,464.0,567.0,444.0,576.0,420.0,821.0,524.0
06037599100,553.0,53.0,212.0,27.0,3.0,6.0,252.0,463.0,50.0,155.0,23.0,3.0,6.0,226.0,86.0,42.0,100.0,48.0,100.0,47.0,70.0,34.0,69.0,35.0,85.0,44.0
06037600100,7098.0,2488.0,4394.0,39.0,13.0,74.0,90.0,4956.0,1854.0,2959.0,32.0,7.0,33.0,71.0,1355.0,68.0,1335.0,39.0,1205.0,56.0,994.0,108.0,1006.0,85.0,1561.0,177.0
06037600201,4690.0,1550.0,2997.0,50.0,14.0,26.0,53.0,3348.0,1157.0,2091.0,33.0,14.0,16.0,37.0,839.0,36.0,1027.0,39.0,973.0,47.0,766.0,83.0,759.0,74.0,1127.0,121.0
06037600202,7071.0,2776.0,4060.0,78.0,24.0,38.0,95.0,5033.0,2115.0,2756.0,52.0,19.0,26.0,65.0,1430.0,45.0,1578.0,66.0,1424.0,61.0,1165.0,98.0,1164.0,87.0,1811.0,216.0
06037600302,3472.0,2183.0,1191.0,37.0,6.0,24.0,31.0,2739.0,1774.0,887.0,33.0,2.0,17.0,26.0,1470.0,53.0,1552.0,30.0,1377.0,57.0,1188.0,93.0,1179.0,76.0,1412.0,126.0
06037600303,3813.0,1633.0,2078.0,15.0,14.0,47.0,26.0,2648.0,1141.0,1448.0,11.0,8.0,25.0,15.0,653.0,32.0,749.0,29.0,727.0,36.0,516.0,49.0,521.0,41.0,993.0,114.0
06037600304,3781.0,1348.0,2338.0,22.0,7.0,14.0,52.0,2670.0,957.0,1631.0,16.0,5.0,14.0,47.0,571.0,33.0,713.0,23.0,640.0,44.0,491.0,53.0,490.0,48.0,782.0,90.0
06037600400,3988.0,3021.0,778.0,64.0,11.0,34.0,80.0,3214.0,2503.0,536.0,56.0,10.0,33.0,76.0,2028.0,46.0,1967.0,41.0,1802.0,61.0,1511.0,95.0,1520.0,81.0,2029.0,129.0
06037600501,2632.0,2034.0,435.0,46.0,2.0,37.0,78.0,2120.0,1678.0,322.0,31.0,1.0,29.0,59.0,1619.0,44.0,1440.0,46.0,1340.0,58.0,1181.0,88.0,1152.0,78.0,1378.0,117.0
06037600601,2571.0,2152.0,293.0,32.0,8.0,30.0,56.0,2104.0,1787.0,214.0,27.0,6.0,20.0,50.0,1287.0,26.0,1389.0,37.0,1312.0,67.0,1139.0,94.0,1130.0,91.0,1438.0,98.0
06037600602,2370.0,872.0,1396.0,24.0,5.0,27.0,46.0,1684.0,663.0,953.0,15.0,5.0,20.0,28.0,416.0,11.0,404.0,17.0,413.0,16.0,329.0,28.0,333.0,23.0,692.0,73.0
06037600702,4182.0,3351.0,569.0,73.0,13.0,54.0,122.0,3407.0,2747.0,438.0,68.0,11.0,39.0,104.0,1987.0,54.0,2177.0,56.0,1983.0,64.0,1810.0,133.0,1798.0,111.0,2062.0,146.0
06037600703,2326.0,2099.0,89.0,43.0,14.0,21.0,60.0,1980.0,1794.0,76.0,34.0,9.0,15.0,52.0,1156.0,33.0,1262.0,39.0,1161.0,51.0,1118.0,57.0,1095.0,57.0,1341.0,64.0
06037600704,3010.0,2418.0,410.0,42.0,8.0,42.0,90.0,2503.0,2036.0,316.0,39.0,3.0,33.0,76.0,1757.0,61.0,1656.0,52.0,1592.0,82.0,1408.0,145.0,1398.0,122.0,1861.0,122.0
06037600801,3206.0,2637.0,402.0,43.0,0.0,33.0,91.0,2658.0,2202.0,315.0,40.0,0.0,27.0,74.0,1852.0,33.0,1862.0,41.0,1751.0,67.0,1607.0,129.0,1573.0,103.0,1948.0,106.0
